,index,0,0
0,0,1.0161080360412598,0.7594144940376282
1,1,0.684748113155365,0.5362676978111267
2,2,0.6150715351104736,0.6065589785575867
3,3,0.5666764974594116,0.6009113788604736
4,4,0.5420235395431519,0.5207380056381226
5,5,0.5134279131889343,0.5469592809677124
6,6,0.491784930229187,0.5471752285957336
7,7,0.4815714657306671,0.46224164962768555
8,8,0.4508276581764221,0.49093857407569885
9,9,0.44221121072769165,0.4854772090911865
10,10,0.3240787088871002,0.33726122975349426
11,11,0.22969862818717957,0.3136294186115265
12,12,0.17956343293190002,0.33194950222969055
13,13,0.14865364134311676,0.28713446855545044
14,14,0.11842295527458191,0.2897079586982727
15,15,0.09711246192455292,0.2672063112258911
16,16,0.08280311524868011,0.2715400159358978
17,17,0.06673598289489746,0.2923153042793274
18,18,0.0541871041059494,0.33058878779411316
19,19,0.033256836235523224,0.2821670174598694
