,blood_cell,source,gray_distribution,red_distribution,green_distribution,blue_distribution
0,art,kag,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.15117748e-09
 7.72676622e-09 1.28779437e-08 7.72676622e-09 2.57558874e-08
 4.12094198e-08 5.40873635e-08 1.05599138e-07 1.72564446e-07
 3.09070649e-07 5.12542159e-07 8.98880470e-07 1.50414382e-06
 2.43650695e-06 3.58006835e-06 5.57357403e-06 7.85297006e-06
 1.18425570e-05 1.84798492e-05 2.81022487e-05 4.14953102e-05
 5.98592579e-05 8.37555702e-05 1.09271928e-04 1.35409002e-04
 1.59653019e-04 1.81862321e-04 2.01781924e-04 2.21307462e-04
 2.49602880e-04 2.97199760e-04 3.54413888e-04 3.46277604e-04
 3.46264726e-04 3.57337182e-04 3.77143459e-04 3.95978739e-04
 4.12042686e-04 4.28691292e-04 4.47464758e-04 4.62743151e-04
 4.81537222e-04 4.98500049e-04 5.15558173e-04 5.32199052e-04
 5.54202307e-04 5.74039491e-04 5.96256520e-04 6.17476795e-04
 6.40093040e-04 6.65733026e-04 6.89716908e-04 7.20116582e-04
 7.47345706e-04 7.79875392e-04 8.12858382e-04 8.47641708e-04
 8.83401182e-04 9.22153490e-04 9.60323715e-04 1.00138890e-03
 1.04135174e-03 1.08908770e-03 1.13192747e-03 1.17660363e-03
 1.22057408e-03 1.27159649e-03 1.31528878e-03 1.35760828e-03
 1.40453550e-03 1.44650730e-03 1.48726341e-03 1.53259378e-03
 1.57179424e-03 1.60849123e-03 1.63988765e-03 1.67609013e-03
 1.70659025e-03 1.74668186e-03 1.76914100e-03 1.80175053e-03
 1.82432041e-03 1.84830429e-03 1.86812860e-03 1.88140834e-03
 1.89891719e-03 1.91660118e-03 1.93399413e-03 1.95069425e-03
 1.97324610e-03 1.99412640e-03 2.02638050e-03 2.05448275e-03
 2.09885757e-03 2.14206049e-03 2.18433620e-03 2.23261046e-03
 2.28485886e-03 2.34873088e-03 2.40959720e-03 2.47901189e-03
 2.53743397e-03 2.62068472e-03 2.69411733e-03 2.77779048e-03
 2.86851045e-03 2.96959715e-03 3.07321824e-03 3.19439969e-03
 3.32758596e-03 3.47290068e-03 3.61451685e-03 3.76963425e-03
 3.93554338e-03 4.08431196e-03 4.25296151e-03 4.42531733e-03
 4.57783340e-03 4.74512046e-03 4.92574650e-03 5.12243648e-03
 5.32669097e-03 5.52500873e-03 5.70976086e-03 5.86423952e-03
 6.00428716e-03 6.15327209e-03 6.26359228e-03 6.34596991e-03
 6.35824774e-03 6.35082747e-03 6.31556766e-03 6.26269855e-03
 6.20557972e-03 6.12855159e-03 6.03839053e-03 5.92631121e-03
 5.79378944e-03 5.63991089e-03 5.47754320e-03 5.30198593e-03
 5.13066806e-03 4.94918693e-03 4.79567669e-03 4.62954864e-03
 4.49622844e-03 4.33691540e-03 4.19979106e-03 4.05882393e-03
 3.93981113e-03 3.82838086e-03 3.71797052e-03 3.62777855e-03
 3.53558278e-03 3.45105196e-03 3.37960512e-03 3.30643265e-03
 3.23761292e-03 3.16984660e-03 3.08755654e-03 3.00330903e-03
 2.91481953e-03 2.82502163e-03 2.73348263e-03 2.64949526e-03
 2.57534406e-03 2.50455400e-03 2.44588724e-03 2.38930156e-03
 2.34428799e-03 2.31699963e-03 2.28648405e-03 2.26377251e-03
 2.23941002e-03 2.22272535e-03 2.22071640e-03 2.21501147e-03
 2.21765660e-03 2.22636209e-03 2.23969591e-03 2.26235851e-03
 2.28442358e-03 2.31338350e-03 2.35528833e-03 2.39291768e-03
 2.44806104e-03 2.50611223e-03 2.57297709e-03 2.65728899e-03
 2.74312048e-03 2.84136889e-03 2.93592906e-03 3.05332182e-03
 3.20463765e-03 3.38008934e-03 3.58968302e-03 3.84961916e-03
 4.16014244e-03 4.51843774e-03 4.94621470e-03 5.46601229e-03
 6.09213534e-03 6.85397904e-03 7.78285224e-03 8.89198059e-03
 1.01220663e-02 1.13022088e-02 1.25648345e-02 1.44261404e-02
 1.75719980e-02 2.28342013e-02 3.10767601e-02 4.40503560e-02
 6.11276272e-02 7.24011954e-02 6.33135422e-02 3.73000650e-02
 1.78704726e-02 1.03813817e-02 9.07085780e-03 9.60872058e-03
 1.00683009e-02 1.05811805e-02 1.04326385e-02 9.15773756e-03
 7.48533826e-03 3.79937200e-03 1.20056948e-03 2.46625500e-04
 5.16354030e-05 1.25637219e-05 4.10548845e-06 1.73852240e-06
 6.67077483e-07 2.91041527e-07 1.10750316e-07 1.39081792e-07]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.57558874e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.57558874e-09
 0.00000000e+00 0.00000000e+00 2.57558874e-09 0.00000000e+00
 5.15117748e-09 0.00000000e+00 2.57558874e-09 7.72676622e-09
 1.03023550e-08 5.15117748e-09 1.80291212e-08 3.09070649e-08
 4.12094198e-08 3.86338311e-08 3.34826536e-08 1.03023550e-07
 1.15901493e-07 1.33930614e-07 1.62262091e-07 2.52407696e-07
 3.29675359e-07 5.12542159e-07 6.02687765e-07 8.88578115e-07
 1.21825347e-06 1.83124359e-06 2.52407696e-06 3.22978828e-06
 4.62318179e-06 6.22004680e-06 8.63079786e-06 1.20228482e-05
 1.68701062e-05 2.32292348e-05 3.19141201e-05 4.43490625e-05
 5.96274549e-05 8.02295892e-05 1.07937773e-04 1.49515502e-04
 2.11285847e-04 2.14572298e-04 1.75431076e-04 1.60541597e-04
 1.54728493e-04 1.54973174e-04 1.53347978e-04 1.53855369e-04
 1.54084596e-04 1.55058169e-04 1.56915168e-04 1.59526815e-04
 1.62772057e-04 1.66344399e-04 1.71789193e-04 1.77988635e-04
 1.85499052e-04 1.92296031e-04 2.01720110e-04 2.11463562e-04
 2.19808470e-04 2.31040612e-04 2.42532889e-04 2.53275670e-04
 2.65236704e-04 2.79330325e-04 2.92298415e-04 3.07265161e-04
 3.25714103e-04 3.43210077e-04 3.61921730e-04 3.81084110e-04
 4.02085460e-04 4.24977293e-04 4.48502721e-04 4.70093881e-04
 4.94551672e-04 5.20822677e-04 5.49422014e-04 5.77467600e-04
 6.09064923e-04 6.37071875e-04 6.70374237e-04 7.00379846e-04
 7.33074369e-04 7.68869902e-04 8.00809777e-04 8.34588624e-04
 8.70008120e-04 9.06887975e-04 9.41539946e-04 9.76920809e-04
 1.01144400e-03 1.04843718e-03 1.07854839e-03 1.11009420e-03
 1.14625031e-03 1.17945480e-03 1.21335985e-03 1.24671888e-03
 1.27765170e-03 1.30884208e-03 1.33559472e-03 1.36507749e-03
 1.39374636e-03 1.41489452e-03 1.44471211e-03 1.46679521e-03
 1.48708570e-03 1.52072804e-03 1.53841718e-03 1.56450790e-03
 1.58760835e-03 1.61679492e-03 1.64247097e-03 1.66839942e-03
 1.69690346e-03 1.73268354e-03 1.76900449e-03 1.81250619e-03
 1.85333442e-03 1.90728012e-03 1.96178473e-03 2.01303895e-03
 2.05734680e-03 2.11717515e-03 2.18522993e-03 2.23649960e-03
 2.29135964e-03 2.35059303e-03 2.42593416e-03 2.48740058e-03
 2.54949545e-03 2.61134306e-03 2.67159896e-03 2.74359954e-03
 2.83131122e-03 2.90888022e-03 2.98116412e-03 3.05670356e-03
 3.14668433e-03 3.24878582e-03 3.33674475e-03 3.43540525e-03
 3.53752477e-03 3.66857845e-03 3.82125420e-03 3.97243869e-03
 4.09451129e-03 4.20463831e-03 4.33917419e-03 4.49088925e-03
 4.64913857e-03 4.78287086e-03 4.92046654e-03 5.09492662e-03
 5.28761156e-03 5.47747624e-03 5.60860719e-03 5.74662269e-03
 5.87762486e-03 6.04000542e-03 6.14649057e-03 6.20306080e-03
 6.24448399e-03 6.32798200e-03 6.43203321e-03 6.51347590e-03
 6.52663201e-03 6.50758811e-03 6.51420995e-03 6.53788476e-03
 6.50638531e-03 6.41135638e-03 6.28682152e-03 6.17508733e-03
 6.08470219e-03 5.94665321e-03 5.77337018e-03 5.57532543e-03
 5.39325449e-03 5.22210919e-03 5.04426221e-03 4.85537369e-03
 4.65515514e-03 4.47259742e-03 4.30160408e-03 4.12770033e-03
 3.96738538e-03 3.82695656e-03 3.70583435e-03 3.60776880e-03
 3.51789879e-03 3.43476136e-03 3.36686626e-03 3.29937296e-03
 3.26425481e-03 3.23674752e-03 3.20870966e-03 3.18379341e-03
 3.16857169e-03 3.15003517e-03 3.15331132e-03 3.16457437e-03
 3.20423071e-03 3.24756757e-03 3.30921686e-03 3.37586022e-03
 3.46249015e-03 3.57094561e-03 3.69993367e-03 3.84706160e-03
 4.02625561e-03 4.23721436e-03 4.49405980e-03 4.78684242e-03
 5.14093694e-03 5.55892666e-03 6.03606220e-03 6.58226988e-03
 7.18452237e-03 7.90239304e-03 8.74496599e-03 9.79256095e-03
 1.11421334e-02 1.26958341e-02 1.43448291e-02 1.62148687e-02
 1.87432778e-02 2.28657987e-02 2.91369400e-02 3.80426665e-02
 5.11856099e-02 6.68455398e-02 7.84446676e-02 1.25517590e-01]","[9.51164921e-06 3.21433475e-06 3.95867989e-06 5.41646312e-06
 7.57738207e-06 1.04053785e-05 1.44928378e-05 1.97393121e-05
 2.71647344e-05 3.70009078e-05 5.00952010e-05 6.72692267e-05
 8.92080916e-05 1.15687719e-04 1.48644953e-04 1.86840934e-04
 2.29353602e-04 2.75438611e-04 3.21227428e-04 3.60979064e-04
 3.89985344e-04 4.08357019e-04 4.16091512e-04 4.17621412e-04
 4.13582889e-04 4.12246158e-04 4.12748398e-04 4.12799910e-04
 4.18772700e-04 4.29002938e-04 4.40505518e-04 4.56734302e-04
 4.74917959e-04 4.92383026e-04 5.14988968e-04 5.41113165e-04
 5.70317766e-04 6.05448796e-04 6.43186322e-04 6.61470427e-04
 6.76406266e-04 6.85771106e-04 7.09500005e-04 7.33705388e-04
 7.59069786e-04 7.86306637e-04 8.16819637e-04 8.46614048e-04
 8.74324807e-04 9.05443070e-04 9.37609598e-04 9.71849474e-04
 1.00382541e-03 1.03801120e-03 1.07620718e-03 1.10742074e-03
 1.14353564e-03 1.18157194e-03 1.22010532e-03 1.25053075e-03
 1.28427354e-03 1.31716896e-03 1.34783907e-03 1.38144793e-03
 1.41142778e-03 1.43707292e-03 1.46198144e-03 1.48954539e-03
 1.51064719e-03 1.52861964e-03 1.54097732e-03 1.55668068e-03
 1.57089278e-03 1.58030913e-03 1.58767532e-03 1.59459077e-03
 1.59959257e-03 1.60429817e-03 1.60681452e-03 1.60239223e-03
 1.60482874e-03 1.60569929e-03 1.60665226e-03 1.60727040e-03
 1.60926905e-03 1.61204811e-03 1.60853501e-03 1.61395662e-03
 1.61454386e-03 1.61995517e-03 1.62719515e-03 1.64096940e-03
 1.66585731e-03 1.68482395e-03 1.71571556e-03 1.76182890e-03
 1.81151458e-03 1.87251225e-03 1.92951776e-03 2.00939707e-03
 2.08047044e-03 2.15229331e-03 2.23355828e-03 2.32887567e-03
 2.41954154e-03 2.51850339e-03 2.62608831e-03 2.73402866e-03
 2.85133642e-03 2.97952605e-03 3.12561344e-03 3.25655895e-03
 3.41868711e-03 3.57324819e-03 3.74049404e-03 3.90579533e-03
 4.06239627e-03 4.23499678e-03 4.39808821e-03 4.57442589e-03
 4.74683065e-03 4.94728100e-03 5.13988352e-03 5.32447854e-03
 5.49252540e-03 5.62016128e-03 5.72460140e-03 5.80507310e-03
 5.84671522e-03 5.85548252e-03 5.83446057e-03 5.80085943e-03
 5.74943008e-03 5.68087306e-03 5.58692073e-03 5.48876247e-03
 5.38570286e-03 5.27197517e-03 5.14118419e-03 5.00037418e-03
 4.84986965e-03 4.68489032e-03 4.50835689e-03 4.33323231e-03
 4.17334749e-03 4.01627263e-03 3.86967012e-03 3.73860356e-03
 3.60720733e-03 3.49901972e-03 3.39958397e-03 3.31087811e-03
 3.23323442e-03 3.16874940e-03 3.10401970e-03 3.04353200e-03
 2.98162000e-03 2.92881528e-03 2.87937428e-03 2.84046228e-03
 2.80262946e-03 2.76391579e-03 2.72802496e-03 2.70368307e-03
 2.66523983e-03 2.63556132e-03 2.60017531e-03 2.56581953e-03
 2.51873777e-03 2.45372218e-03 2.38995318e-03 2.33093356e-03
 2.26443444e-03 2.20868067e-03 2.15311749e-03 2.10250460e-03
 2.05288331e-03 2.00919102e-03 1.96991072e-03 1.93656199e-03
 1.91287688e-03 1.89308863e-03 1.88326018e-03 1.87594036e-03
 1.86441460e-03 1.85710766e-03 1.84978783e-03 1.85681661e-03
 1.86408750e-03 1.87015301e-03 1.88365167e-03 1.89593981e-03
 1.91833198e-03 1.94289279e-03 1.96902214e-03 1.99974891e-03
 2.03902406e-03 2.07881433e-03 2.12818579e-03 2.18158548e-03
 2.24772402e-03 2.31201587e-03 2.40034826e-03 2.48837415e-03
 2.58394910e-03 2.68731263e-03 2.81601737e-03 2.95656983e-03
 3.14942476e-03 3.37495104e-03 3.64348192e-03 3.96184014e-03
 4.32749905e-03 4.76412573e-03 5.27885971e-03 5.89704737e-03
 6.64873295e-03 7.52512337e-03 8.46825761e-03 9.32296673e-03
 1.01065510e-02 1.11668771e-02 1.30185811e-02 1.62768735e-02
 2.15134034e-02 2.92549844e-02 4.02528771e-02 5.41816764e-02
 6.41769800e-02 5.74768589e-02 3.63081826e-02 2.09095128e-02
 1.27079497e-02 9.44334202e-03 7.68400629e-03 7.30637090e-03
 7.75586522e-03 8.70670046e-03 9.25941666e-03 9.70144177e-03
 1.02913907e-02 9.11149544e-03 7.70633665e-03 6.55842508e-03
 3.67267622e-03 1.82445434e-03 7.18694857e-04 2.72680155e-04
 1.23811126e-04 5.98953161e-05 2.99257656e-05 1.50465894e-05
 8.46853577e-06 5.04300275e-06 3.51310304e-06 9.35196271e-06]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.57558874e-09 2.57558874e-09
 2.57558874e-09 2.57558874e-09 2.57558874e-09 2.57558874e-09
 0.00000000e+00 1.03023550e-08 2.57558874e-09 1.03023550e-08
 2.06047099e-08 3.60582423e-08 3.09070649e-08 4.89361860e-08
 6.43897185e-08 7.98432509e-08 7.21164847e-08 9.78723721e-08
 1.64837679e-07 2.16349454e-07 2.42105341e-07 3.60582423e-07
 5.09966570e-07 6.54199540e-07 8.70548994e-07 1.24658495e-06
 1.65610356e-06 2.08365129e-06 2.74300201e-06 3.78869103e-06
 5.15375307e-06 6.85621722e-06 9.76405691e-06 1.47632747e-05
 2.72213974e-05 4.58841134e-05 6.15797512e-05 4.61416723e-05
 4.03723535e-05 3.83685454e-05 3.68437969e-05 4.00890387e-05
 4.24122198e-05 4.30046052e-05 4.29118840e-05 4.21701144e-05
 4.15571243e-05 4.46014702e-05 4.30329366e-05 4.14901590e-05
 4.24070686e-05 4.18378635e-05 4.39215148e-05 4.52299138e-05
 4.86116619e-05 5.03836669e-05 5.26115512e-05 5.67659758e-05
 6.13015876e-05 6.74752738e-05 7.60674378e-05 8.67097705e-05
 9.83540072e-05 1.11273160e-04 1.28653233e-04 1.52284260e-04
 1.77185052e-04 2.11005107e-04 2.46208254e-04 2.86284415e-04
 3.30484093e-04 3.79708745e-04 4.34277744e-04 5.06324688e-04
 5.92424044e-04 6.93588018e-04 8.18985707e-04 9.67813527e-04
 1.14907574e-03 1.34881522e-03 1.58171541e-03 1.82008872e-03
 2.07550728e-03 2.34417467e-03 2.67941072e-03 3.05398374e-03
 3.45402934e-03 3.88637796e-03 4.36196300e-03 4.85628029e-03
 5.44838496e-03 6.13800915e-03 6.84300188e-03 7.51893681e-03
 8.12522525e-03 8.70954391e-03 9.31422776e-03 9.95096738e-03
 1.05712104e-02 1.11644818e-02 1.15499341e-02 1.17399584e-02
 1.16982339e-02 1.15707783e-02 1.14125651e-02 1.12325417e-02
 1.10094648e-02 1.06898935e-02 1.02872259e-02 9.80493923e-03
 9.33355240e-03 8.89836290e-03 8.51144508e-03 8.16577532e-03
 7.82615046e-03 7.49836301e-03 7.17275193e-03 6.85932853e-03
 6.57773684e-03 6.30602253e-03 6.06815403e-03 5.84003156e-03
 5.61319689e-03 5.40380152e-03 5.21498511e-03 5.03269524e-03
 4.85555913e-03 4.72441788e-03 4.59583934e-03 4.49651691e-03
 4.41254241e-03 4.34571619e-03 4.29380262e-03 4.28612479e-03
 4.28780923e-03 4.32555448e-03 4.38546525e-03 4.48110974e-03
 4.61804349e-03 4.78614701e-03 5.00701147e-03 5.28043597e-03
 5.61481178e-03 6.02008840e-03 6.52906594e-03 7.15951855e-03
 7.94841881e-03 8.97508454e-03 1.03947491e-02 1.23697749e-02
 1.51838863e-02 1.93051296e-02 2.56028227e-02 3.60077505e-02
 5.22812602e-02 6.95498101e-02 7.42369927e-02 5.69518174e-02
 3.27753068e-02 1.55755149e-02 7.35692713e-03 4.19358646e-03
 3.20276778e-03 3.09280817e-03 3.30907005e-03 3.73840782e-03
 4.36654755e-03 5.22039900e-03 6.50216134e-03 8.09013285e-03
 9.89108495e-03 1.14806610e-02 1.18508169e-02 1.09759100e-02
 9.58021396e-03 7.76059915e-03 4.59891974e-03 2.35771196e-03
 9.74177807e-04 3.62163835e-04 1.25212247e-04 4.00246490e-05
 1.01066102e-05 2.70694376e-06 9.94177253e-07 4.63605973e-07
 3.24524181e-07 1.77715623e-07 6.95408960e-08 5.15117748e-08
 5.15117748e-08 3.34826536e-08 2.06047099e-08 1.03023550e-08
 1.28779437e-08 2.57558874e-09 5.15117748e-09 2.57558874e-09
 1.28779437e-08 5.15117748e-09 2.57558874e-09 5.15117748e-09
 2.57558874e-09 0.00000000e+00 0.00000000e+00 2.57558874e-09
 5.15117748e-09 0.00000000e+00 0.00000000e+00 5.15117748e-09]"
1,art,bar,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
