,index,0,0
0,0,0.7567817568778992,0.8404216170310974
1,1,0.8313175439834595,0.8452293276786804
2,2,0.8509516716003418,0.8432877063751221
3,3,0.859600841999054,0.8355214595794678
4,4,0.9003491997718811,0.8949704170227051
5,5,0.9090446829795837,0.8947855234146118
6,6,0.91452556848526,0.8937684893608093
7,7,0.9173238277435303,0.8923816680908203
8,8,0.919705867767334,0.8956176042556763
9,9,0.9244235754013062,0.8979290127754211
10,10,0.9244235754013062,0.8979290127754211
11,11,0.874540388584137,0.9025517702102661
12,12,0.9026387333869934,0.9084689617156982
13,13,0.9194052219390869,0.9215052127838135
14,14,0.9287481904029846,0.9260355234146118
15,15,0.9390856027603149,0.9334319829940796
16,16,0.9469254016876221,0.9267751574516296
17,17,0.9526606798171997,0.9313979148864746
18,18,0.9613330364227295,0.9320451021194458
19,19,0.9686640501022339,0.9363905191421509
20,20,0.9709303975105286,0.9358358383178711
