,index,0,0
0,0,0.7174063324928284,0.4729032814502716
1,1,0.4955705404281616,0.46610739827156067
2,2,0.43721166253089905,0.48701485991477966
3,3,0.3998149037361145,0.4932478070259094
4,4,0.27362489700317383,0.3333176076412201
5,5,0.24372558295726776,0.33355292677879333
6,6,0.23059581220149994,0.3332180380821228
7,7,0.21767738461494446,0.33617761731147766
8,8,0.2103167623281479,0.3291279673576355
9,9,0.19802212715148926,0.32340535521507263
10,10,0.29270613193511963,0.32340535521507263
11,11,0.3840425908565521,0.3105394244194031
12,12,0.29270613193511963,0.28321215510368347
13,13,0.23673053085803986,0.24228930473327637
14,14,0.2047918140888214,0.22411493957042694
15,15,0.1701158583164215,0.20845580101013184
16,16,0.14413093030452728,0.22546935081481934
17,17,0.12338048219680786,0.21262849867343903
18,18,0.09856518357992172,0.21745887398719788
19,19,0.0802878886461258,0.2088569551706314
20,20,0.07544154673814774,0.20882955193519592
